Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-19 00:48:38,B,35851.6,36300,0,0
2024-09-19 00:49:33,B,35801.6,36300,1,0
2024-09-19 00:50:21,B,35701.6,36300,2,0
2024-09-19 00:51:20,A,35601.6,36300,3,0
2024-09-19 00:53:02,B,35451.6,36300,4,0
2024-09-19 00:53:47,B,35201.6,36300,5,0
2024-09-19 00:54:35,A,35581.6,36300,3,1
2024-09-19 00:55:25,A,35724.1,36300,1,2
2024-09-19 00:57:18,A,35771.6,36300,1,3
2024-09-19 00:58:01,A,35819.1,36300,1,4
2024-09-19 00:58:57,A,35769.1,36300,2,0
2024-09-19 00:59:45,A,35864.1,36300,0,1
2024-09-19 01:01:28,B,35814.1,36300,1,0
2024-09-19 01:02:17,B,35714.1,36300,2,0
2024-09-19 01:03:05,B,35614.1,36300,3,0
2024-09-19 01:03:59,B,35756.6,36300,1,1
2024-09-19 01:05:39,B,35706.6,36300,2,0
2024-09-19 01:06:19,B,35706.6,36300,3,0
2024-09-19 01:07:10,A,35749.1,36300,1,1
2024-09-19 01:08:01,A,35699.1,36300,2,0
2024-09-19 01:09:45,B,35599.1,36300,3,0
2024-09-19 01:10:28,B,35741.6,36300,1,1
2024-09-19 01:11:30,A,35789.1,36300,1,2
2024-09-19 01:12:21,A,35739.1,36300,2,0
