2024-08-25 00:27:16,852 - INFO - exchangeTSL.py - 244 - Starting value: 20361.08
2024-08-25 00:27:16,852 - INFO - exchangeTSL.py - 245 - Target amount: 20900
2024-08-25 00:27:16,853 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-25 00:27:45,370 - INFO - exchangeTSL.py - 198 - B,20361.08,20900,0,0
2024-08-25 00:28:34,091 - INFO - exchangeTSL.py - 198 - B,20361.08,20900,1,0
2024-08-25 00:29:27,343 - INFO - exchangeTSL.py - 186 - A,20311.08,20900,0,1
2024-08-25 00:30:13,781 - INFO - exchangeTSL.py - 198 - B,20406.08,20900,0,2
2024-08-25 00:31:17,049 - INFO - exchangeTSL.py - 198 - B,20453.58,20900,1,0
2024-08-25 00:32:14,310 - INFO - exchangeTSL.py - 198 - B,20403.58,20900,2,0
2024-08-25 00:33:06,290 - INFO - exchangeTSL.py - 198 - B,20303.58,20900,3,0
2024-08-25 00:33:52,466 - INFO - exchangeTSL.py - 198 - B,20103.58,20900,4,0
2024-08-25 00:34:47,337 - INFO - exchangeTSL.py - 198 - B,19703.58,20900,0,1
2024-08-25 00:35:36,951 - INFO - exchangeTSL.py - 186 - A,20463.58,20900,0,2
2024-08-25 00:36:23,139 - INFO - exchangeTSL.py - 198 - B,20511.08,20900,0,3
2024-08-25 00:37:11,859 - INFO - exchangeTSL.py - 186 - A,20558.58,20900,1,0
2024-08-25 00:38:01,857 - INFO - exchangeTSL.py - 198 - B,20508.58,20900,2,0
2024-08-25 00:38:58,265 - INFO - exchangeTSL.py - 198 - B,20408.58,20900,0,1
2024-08-25 00:39:45,553 - INFO - exchangeTSL.py - 198 - B,20598.58,20900,0,2
2024-08-25 00:40:33,875 - INFO - exchangeTSL.py - 186 - A,20646.08,20900,1,0
2024-08-25 00:41:27,995 - INFO - exchangeTSL.py - 198 - B,20596.08,20900,0,1
2024-08-25 00:42:14,150 - INFO - exchangeTSL.py - 198 - B,20691.08,20900,1,0
2024-08-25 00:43:02,257 - INFO - exchangeTSL.py - 186 - A,20641.08,20900,2,0
2024-08-25 00:43:54,629 - INFO - exchangeTSL.py - 198 - B,20541.08,20900,3,0
2024-08-25 00:44:48,383 - INFO - exchangeTSL.py - 186 - A,20341.08,20900,4,0
2024-08-25 00:45:32,932 - INFO - exchangeTSL.py - 198 - B,19941.08,20900,0,1
2024-08-25 00:46:21,504 - INFO - exchangeTSL.py - 198 - B,20701.08,20900,0,2
2024-08-25 00:47:11,159 - INFO - exchangeTSL.py - 186 - A,20748.58,20900,1,0
2024-08-25 00:47:57,330 - INFO - exchangeTSL.py - 198 - B,20698.58,20900,0,1
2024-08-25 00:48:48,984 - INFO - exchangeTSL.py - 186 - A,20793.58,20900,0,2
2024-08-25 00:49:33,622 - INFO - exchangeTSL.py - 198 - B,20841.08,20900,0,3
2024-08-25 00:50:28,493 - INFO - exchangeTSL.py - 186 - A,20888.58,20900,1,0
2024-08-25 00:51:30,979 - INFO - exchangeTSL.py - 198 - B,20838.58,20900,2,0
2024-08-25 00:52:15,064 - INFO - exchangeTSL.py - 198 - B,20738.58,20900,0,1
