2024-08-24 21:25:13,173 - INFO - exchangeTSL.py - 244 - Starting value: 21093.58
2024-08-24 21:25:13,173 - INFO - exchangeTSL.py - 245 - Target amount: 21600
2024-08-24 21:25:13,173 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-24 21:25:31,073 - INFO - exchangeTSL.py - 198 - B,21093.58,21600,0,0
2024-08-24 21:26:18,460 - INFO - exchangeTSL.py - 198 - B,21093.58,21600,1,0
2024-08-24 21:26:59,408 - INFO - exchangeTSL.py - 186 - A,21043.58,21600,0,1
2024-08-24 21:27:44,181 - INFO - exchangeTSL.py - 186 - A,21138.58,21600,1,0
2024-08-24 21:28:35,014 - INFO - exchangeTSL.py - 198 - B,21088.58,21600,2,0
2024-08-24 21:29:17,712 - INFO - exchangeTSL.py - 186 - A,20988.58,21600,3,0
2024-08-24 21:30:03,433 - INFO - exchangeTSL.py - 198 - B,20788.58,21600,4,0
2024-08-24 21:31:19,725 - INFO - exchangeTSL.py - 186 - A,20388.58,21600,0,1
2024-08-24 21:31:54,566 - INFO - exchangeTSL.py - 186 - A,21098.58,21600,0,2
2024-08-24 21:32:47,135 - INFO - exchangeTSL.py - 186 - A,21196.08,21600,0,3
2024-08-24 21:33:40,986 - INFO - exchangeTSL.py - 198 - B,21243.58,21600,0,4
2024-08-24 21:34:28,636 - INFO - exchangeTSL.py - 198 - B,21291.08,21600,0,5
2024-08-24 21:35:18,252 - INFO - exchangeTSL.py - 198 - B,21338.58,21600,1,0
2024-08-24 21:36:08,429 - INFO - exchangeTSL.py - 198 - B,21288.58,21600,0,1
2024-08-24 21:36:52,199 - INFO - exchangeTSL.py - 186 - A,21383.58,21600,1,0
2024-08-24 21:37:41,050 - INFO - exchangeTSL.py - 186 - A,21333.58,21600,0,1
2024-08-24 21:38:33,815 - INFO - exchangeTSL.py - 198 - B,21428.58,21600,1,0
2024-08-24 21:39:30,278 - INFO - exchangeTSL.py - 198 - B,21378.58,21600,0,1
2024-08-24 21:40:17,714 - INFO - exchangeTSL.py - 186 - A,21473.58,21600,1,0
2024-08-24 21:41:06,096 - INFO - exchangeTSL.py - 186 - A,21423.58,21600,0,1
2024-08-24 21:42:00,948 - INFO - exchangeTSL.py - 198 - B,21518.58,21600,1,0
2024-08-24 21:42:48,575 - INFO - exchangeTSL.py - 198 - B,21468.58,21600,0,1
2024-08-24 21:43:46,658 - INFO - exchangeTSL.py - 198 - B,21563.58,21600,0,2
