Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-05 02:51:47,A,6173.64,10000,0,0
2024-10-05 02:52:33,B,6123.64,10000,1,0
2024-10-05 02:53:24,A,6171.14,10000,0,1
2024-10-05 02:55:52,A,6218.64,10000,0,0
2024-10-05 02:56:40,B,6168.64,10000,1,0
2024-10-05 02:57:28,A,6216.14,10000,0,1
2024-10-05 02:59:55,A,6263.64,10000,0,0
2024-10-05 03:00:46,B,6213.64,10000,1,0
2024-10-05 03:01:36,A,6261.14,10000,0,1
2024-10-05 03:04:07,A,6308.64,10000,0,0
2024-10-05 03:04:54,B,6258.64,10000,1,0
2024-10-05 03:05:43,A,6208.64,10000,2,0
2024-10-05 03:06:34,A,6303.64,10000,0,1
2024-10-05 03:08:14,B,6253.64,10000,1,1
2024-10-05 03:08:58,B,6203.64,10000,2,0
2024-10-05 03:09:47,A,6103.64,10000,3,0
2024-10-05 03:10:55,B,5953.64,10000,4,0
2024-10-05 03:12:39,A,6191.14,10000,2,1
2024-10-05 03:13:21,B,6091.14,10000,3,0
2024-10-05 03:14:10,A,5941.14,10000,4,0
