Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20228.58,20800,0,0
B,20228.58,20800,0,0
A,20228.58,20800,1,0
A,20178.58,20800,0,1
A,20273.58,20800,0,2
A,20321.08,20800,0,3
A,20368.58,20800,1,0
A,20318.58,20800,2,0
A,20218.58,20800,3,0
B,20018.58,20800,0,1
A,20398.58,20800,1,0
A,20348.58,20800,0,1
A,20443.58,20800,0,2
A,20491.08,20800,0,3
A,20538.58,20800,1,0
A,20488.58,20800,2,0
A,20388.58,20800,3,0
