Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-22 20:50:00,B,28024.86,30000,0,0
2024-09-22 20:51:28,B,27974.86,30000,1,0
2024-09-22 20:52:19,B,27474.86,30000,2,0
2024-09-22 20:53:01,B,28424.86,30000,0,1
2024-09-22 20:54:38,B,27924.86,30000,1,0
2024-09-22 20:55:24,B,26924.86,30000,2,0
2024-09-22 20:56:10,A,27874.86,30000,0,1
2024-09-22 20:56:57,A,28349.86,30000,0,2
2024-09-22 20:58:26,B,28824.86,30000,0,0
2024-09-22 20:59:18,B,28324.86,30000,1,0
2024-09-22 21:02:21,B,29274.86,30000,0,0
2024-09-22 21:06:14,B,29749.86,30000,0,0
2024-09-22 21:07:05,B,29249.86,30000,1,0
