Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20571.08,21100,0,0
B,20571.08,21100,1,0
A,20521.08,21100,2,0
B,20421.08,21100,3,0
B,20221.08,21100,0,1
B,20601.08,21100,1,0
