Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20241.08,20700,0,0
B,20241.08,20700,1,0
A,20191.08,20700,2,0
A,20091.08,20700,0,1
A,20281.08,20700,0,2
A,20328.58,20700,0,3
A,20376.08,20700,1,0
A,20326.08,20700,2,0
B,20226.08,20700,0,1
A,20416.08,20700,0,2
A,20463.58,20700,1,0
A,20413.58,20700,0,1
B,20508.58,20700,1,0
B,20458.58,20700,2,0
A,20358.58,20700,0,1
A,20548.58,20700,1,0
B,20498.58,20700,0,1
A,20593.58,20700,0,2
A,20641.08,20700,1,0
A,20591.08,20700,2,0
B,20491.08,20700,0,1
