Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-23 23:25:55,B,50286.3,55000,0,0
2024-09-23 23:29:58,B,50761.3,55000,0,0
2024-09-23 23:30:45,B,50261.3,55000,1,0
2024-09-23 23:34:25,B,51211.3,55000,0,0
2024-09-23 23:35:18,B,50711.3,55000,1,0
2024-09-23 23:36:06,B,49711.3,55000,2,0
2024-09-23 23:37:00,B,50661.3,55000,0,1
2024-09-23 23:38:48,B,50161.3,55000,1,0
2024-09-23 23:39:35,B,51111.3,55000,1,1
2024-09-23 23:43:01,B,51586.3,55000,0,0
2024-09-23 23:47:30,B,52061.3,55000,0,0
2024-09-23 23:48:25,B,51561.3,55000,1,0
2024-09-23 23:49:16,B,50561.3,55000,2,0
2024-09-23 23:50:04,A,49561.3,55000,3,0
2024-09-23 23:52:00,B,48061.3,55000,4,0
2024-09-23 23:52:41,B,45561.3,55000,5,0
2024-09-23 23:53:32,B,41561.3,55000,6,0
2024-09-23 23:54:24,A,35061.3,55000,7,0
