Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-17 23:00:59,B,14275.6,20000,0,0
2024-09-17 23:01:47,B,14225.6,20000,1,0
2024-09-17 23:02:39,A,14125.6,20000,2,0
2024-09-17 23:02:47,B,14125.6,20000,2,0
2024-09-17 23:03:31,B,14125.6,20000,0,1
2024-09-17 23:05:02,B,14170.6,20000,1,0
2024-09-17 23:05:49,B,14070.6,20000,2,0
2024-09-17 23:06:39,A,14165.6,20000,0,1
2024-09-17 23:06:47,A,14165.6,20000,0,1
2024-09-17 23:07:26,A,14115.6,20000,1,0
2024-09-17 23:09:02,B,14210.6,20000,1,1
2024-09-17 23:09:47,B,14160.6,20000,2,0
2024-09-17 23:10:47,A,14060.6,20000,3,0
2024-09-17 23:11:32,A,14203.1,20000,1,1
2024-09-17 23:13:13,B,14250.6,20000,1,2
2024-09-17 23:14:00,A,14298.1,20000,1,3
2024-09-17 23:14:43,A,14248.1,20000,2,0
2024-09-17 23:14:50,A,14248.1,20000,2,0
2024-09-17 23:15:31,B,14248.1,20000,3,0
2024-09-17 23:17:07,A,13898.1,20000,4,0
2024-09-17 23:17:49,A,13648.1,20000,5,0
2024-09-17 23:18:36,B,13248.1,20000,6,0
2024-09-17 23:18:48,B,13248.1,20000,6,0
2024-09-17 23:19:31,B,12598.1,20000,7,0
2024-09-17 23:21:02,A,13595.6,20000,5,1
2024-09-17 23:21:48,B,13975.6,20000,3,2
2024-09-17 23:22:33,B,13825.6,20000,4,0
2024-09-17 23:22:42,B,13825.6,20000,4,0
2024-09-17 23:23:25,B,13825.6,20000,2,1
2024-09-17 23:24:54,B,14158.1,20000,0,2
2024-09-17 23:25:40,A,14205.6,20000,0,3
2024-09-17 23:26:25,B,14253.1,20000,0,4
2024-09-17 23:26:31,A,14253.1,20000,0,4
