Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-18 21:09:30,B,34641.6,35500,0,0
2024-09-18 21:10:17,B,34591.6,35500,1,0
2024-09-18 21:11:07,A,34686.6,35500,1,1
2024-09-18 21:12:12,A,34636.6,35500,2,0
2024-09-18 21:14:12,B,34536.6,35500,3,0
2024-09-18 21:14:56,B,34386.6,35500,4,0
2024-09-18 21:15:45,B,34136.6,35500,5,0
2024-09-18 21:16:37,B,33736.6,35500,6,0
2024-09-18 21:18:21,A,33086.6,35500,7,0
2024-09-18 21:19:12,A,32036.6,35500,8,0
2024-09-18 21:20:01,B,30336.6,35500,9,0
2024-09-18 21:20:50,B,27586.6,35500,10,0
2024-09-18 21:22:39,A,31814.1,35500,8,1
2024-09-18 21:23:25,A,33429.1,35500,6,2
2024-09-18 21:24:23,B,32779.1,35500,7,0
2024-09-18 21:25:10,B,31729.1,35500,8,0
2024-09-18 21:27:00,A,33344.1,35500,6,1
2024-09-18 21:27:47,A,32694.1,35500,7,0
2024-09-18 21:28:39,A,33691.6,35500,5,1
2024-09-18 21:29:29,A,34071.6,35500,3,2
2024-09-18 21:31:53,A,34214.1,35500,1,3
2024-09-18 21:32:44,A,34261.6,35500,1,4
2024-09-18 21:33:38,A,34309.1,35500,1,5
2024-09-18 21:34:36,B,34259.1,35500,2,0
2024-09-18 21:36:29,B,34354.1,35500,0,1
2024-09-18 21:37:22,B,34401.6,35500,0,2
2024-09-18 21:38:13,B,34449.1,35500,0,3
2024-09-18 21:39:09,A,34399.1,35500,1,0
2024-09-18 21:40:58,B,34494.1,35500,1,1
2024-09-18 21:41:51,B,34541.6,35500,1,2
2024-09-18 21:42:47,A,34491.6,35500,2,0
2024-09-18 21:43:41,A,34391.6,35500,3,0
2024-09-18 21:45:31,B,34241.6,35500,4,0
2024-09-18 21:46:24,B,34479.1,35500,2,1
