Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-21 02:52:21,B,46748.1,50000,0,0
2024-09-21 02:56:13,B,47223.1,50000,0,0
2024-09-21 02:57:00,B,46723.1,50000,1,0
2024-09-21 02:57:48,B,45723.1,50000,2,0
2024-09-21 02:58:45,A,44723.1,50000,3,0
2024-09-21 03:00:14,A,39723.1,50000,3,0
2024-09-21 03:00:54,B,38223.1,50000,4,0
2024-09-21 03:04:03,B,47723.1,50000,0,0
2024-09-21 03:04:48,B,48123.1,50000,0,1
2024-09-21 03:08:01,B,48598.1,50000,0,0
2024-09-21 03:08:47,B,48098.1,50000,1,0
2024-09-21 03:12:08,B,49048.1,50000,0,0
2024-09-21 03:12:56,B,48548.1,50000,1,0
2024-09-21 03:13:44,B,47548.1,50000,2,0
2024-09-21 03:14:28,A,45548.1,50000,3,0
2024-09-21 03:16:07,A,48873.1,50000,1,1
2024-09-21 03:16:51,B,48873.1,50000,2,0
2024-09-21 03:17:33,A,48373.1,50000,0,1
2024-09-21 03:18:19,A,48823.1,50000,1,0
