Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-21 00:55:39,B,38398.1,40000,0,0
2024-09-21 00:56:22,B,38398.1,40000,1,0
2024-09-21 00:59:30,B,38848.1,40000,0,0
2024-09-21 01:03:27,B,39323.1,40000,0,0
2024-09-21 01:07:17,B,39798.1,40000,0,0
2024-09-21 01:08:04,B,39298.1,40000,1,0
2024-09-21 01:08:50,B,38298.1,40000,2,0
2024-09-21 01:09:43,B,39248.1,40000,0,1
2024-09-21 01:11:33,B,38748.1,40000,1,0
2024-09-21 01:12:18,B,39698.1,40000,1,1
2024-09-21 01:13:06,A,39198.1,40000,2,0
2024-09-21 01:13:54,A,38198.1,40000,3,0
2024-09-21 01:15:33,B,36698.1,40000,4,0
2024-09-21 01:16:20,B,39073.1,40000,2,1
2024-09-21 01:17:07,A,38073.1,40000,3,0
2024-09-21 01:17:49,A,36573.1,40000,4,0
2024-09-21 01:19:28,B,34073.1,40000,5,0
2024-09-21 01:20:12,B,37873.1,40000,3,1
2024-09-21 01:21:05,A,39298.1,40000,1,2
2024-09-21 01:21:50,A,38798.1,40000,2,0
2024-09-21 01:23:34,B,37798.1,40000,3,0
2024-09-21 01:24:18,B,39223.1,40000,1,1
2024-09-21 01:25:07,B,39698.1,40000,1,2
