Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-25 14:54:39,B,20386.08,20850,0,0
2024-08-25 14:55:29,B,20386.08,20850,1,0
2024-08-25 14:56:24,A,20336.08,20850,0,1
2024-08-25 14:57:21,A,20431.08,20850,1,0
2024-08-25 14:58:01,B,20381.08,20850,2,0
2024-08-25 14:58:54,A,20281.08,20850,3,0
2024-08-25 14:59:51,B,20081.08,20850,4,0
2024-08-25 15:00:48,A,19681.08,20850,0,1
2024-08-25 15:01:33,A,20441.08,20850,0,2
2024-08-25 15:02:27,B,20488.58,20850,1,0
2024-08-25 15:03:14,A,20438.58,20850,0,1
2024-08-25 15:04:09,A,20533.58,20850,1,0
2024-08-25 15:04:59,B,20483.58,20850,0,1
2024-08-25 15:05:52,B,20578.58,20850,1,0
2024-08-25 15:06:46,A,20528.58,20850,2,0
2024-08-25 15:07:33,A,20428.58,20850,0,1
2024-08-25 15:08:31,B,20618.58,20850,1,0
2024-08-25 15:09:18,B,20568.58,20850,0,1
2024-08-25 15:10:13,A,20663.58,20850,1,0
2024-08-25 15:11:03,A,20613.58,20850,2,0
2024-08-25 15:12:01,A,20513.58,20850,3,0
2024-08-25 15:12:45,A,20313.58,20850,4,0
2024-08-25 15:13:36,A,19913.58,20850,0,1
2024-08-25 15:14:20,B,20673.58,20850,0,2
2024-08-25 15:15:10,A,20721.08,20850,0,3
2024-08-25 15:15:56,A,20768.58,20850,0,4
2024-08-25 15:16:45,B,20816.08,20850,0,5
