2024-08-23 09:19:30,124 - INFO - exchangeTSL.py - 244 - Starting value: 20193.58
2024-08-23 09:19:30,124 - INFO - exchangeTSL.py - 245 - Target amount: 20650
2024-08-23 09:19:30,124 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-23 09:19:44,636 - INFO - exchangeTSL.py - 198 - B,20193.58,20650,0,0
2024-08-23 09:20:36,007 - INFO - exchangeTSL.py - 198 - B,20193.58,20650,1,0
2024-08-23 09:21:27,259 - INFO - exchangeTSL.py - 186 - A,20143.58,20650,0,1
2024-08-23 09:22:14,848 - INFO - exchangeTSL.py - 198 - B,20238.58,20650,0,2
2024-08-23 09:23:02,936 - INFO - exchangeTSL.py - 198 - B,20286.08,20650,1,0
2024-08-23 09:23:52,107 - INFO - exchangeTSL.py - 198 - B,20236.08,20650,2,0
2024-08-23 09:24:43,303 - INFO - exchangeTSL.py - 186 - A,20136.08,20650,0,1
2024-08-23 09:25:36,812 - INFO - exchangeTSL.py - 198 - B,20326.08,20650,0,2
2024-08-23 09:26:19,535 - INFO - exchangeTSL.py - 186 - A,20373.58,20650,0,3
2024-08-23 09:27:05,390 - INFO - exchangeTSL.py - 186 - A,20421.08,20650,0,4
2024-08-23 09:27:56,262 - INFO - exchangeTSL.py - 186 - A,20468.58,20650,1,0
2024-08-23 09:28:44,666 - INFO - exchangeTSL.py - 186 - A,20418.58,20650,0,1
2024-08-23 09:29:34,853 - INFO - exchangeTSL.py - 198 - B,20513.58,20650,1,0
2024-08-23 09:30:28,011 - INFO - exchangeTSL.py - 198 - B,20463.58,20650,2,0
2024-08-23 09:31:27,809 - INFO - exchangeTSL.py - 186 - A,20363.58,20650,0,1
2024-08-23 09:32:37,908 - INFO - exchangeTSL.py - 186 - A,20553.58,20650,1,0
2024-08-23 09:33:28,143 - INFO - exchangeTSL.py - 198 - B,20503.58,20650,0,1
2024-08-23 09:34:16,466 - INFO - exchangeTSL.py - 186 - A,20598.58,20650,0,2
2024-08-23 09:35:02,738 - INFO - exchangeTSL.py - 198 - B,20646.08,20650,0,3
