Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-18 22:32:33,B,35414.1,35990,0,0
2024-09-18 22:33:26,B,35364.1,35990,1,0
2024-09-18 22:34:16,A,35459.1,35990,1,1
2024-09-18 22:35:04,A,35409.1,35990,2,0
2024-09-18 22:36:48,B,35504.1,35990,0,1
2024-09-18 22:37:32,B,35551.6,35990,0,2
2024-09-18 22:40:47,B,35599.1,35990,0,0
2024-09-18 22:41:40,B,35549.1,35990,1,0
2024-09-18 22:42:28,B,35449.1,35990,2,0
2024-09-18 22:43:17,A,35349.1,35990,3,0
2024-09-18 22:45:01,A,35491.6,35990,1,1
2024-09-18 22:45:53,A,35539.1,35990,1,2
2024-09-18 22:46:41,A,35586.6,35990,1,3
2024-09-18 22:47:42,B,35536.6,35990,2,0
