Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-19 21:41:02,B,36679.1,37100,0,0
2024-09-19 21:41:51,B,36579.1,37100,1,0
2024-09-19 21:42:41,A,36769.1,37100,1,1
2024-09-19 21:43:28,A,36669.1,37100,2,0
2024-09-19 21:45:03,B,36469.1,37100,3,0
2024-09-19 21:45:47,B,36469.1,37100,4,0
2024-09-19 21:46:29,B,36169.1,37100,5,0
2024-09-19 21:47:16,A,34869.1,37100,6,0
2024-09-19 21:48:02,B,33569.1,37100,7,0
2024-09-19 21:48:47,B,35564.1,37100,5,1
2024-09-19 21:49:32,A,34764.1,37100,6,0
2024-09-19 21:50:21,A,33464.1,37100,7,0
2024-09-19 21:51:08,B,31364.1,37100,8,0
