Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-05 02:03:31,A,5901.14,10000,0,0
2024-10-05 02:07:36,A,5948.64,10000,0,0
2024-10-05 02:11:41,A,5996.14,10000,0,0
2024-10-05 02:12:29,B,5946.14,10000,1,0
2024-10-05 02:13:19,A,5896.14,10000,2,0
2024-10-05 02:14:07,A,5991.14,10000,0,1
2024-10-05 02:15:40,A,6038.64,10000,0,0
2024-10-05 02:16:27,B,5988.64,10000,1,0
2024-10-05 02:17:14,A,5938.64,10000,2,0
2024-10-05 02:18:03,A,6033.64,10000,0,1
2024-10-05 02:19:42,A,5983.64,10000,1,1
2024-10-05 02:20:25,B,6031.14,10000,0,2
2024-10-05 02:23:30,A,6078.64,10000,0,0
2024-10-05 02:27:28,A,6126.14,10000,0,0
