Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 12:43:10,A,42418.71,45000,0,0
2024-10-11 12:43:36,B,41968.71,45000,1,0
2024-10-11 12:44:06,A,41518.71,45000,2,0
2024-10-11 12:44:35,A,42418.71,45000,0,1
2024-10-11 12:45:02,B,41968.71,45000,1,0
2024-10-11 12:45:28,A,41518.71,45000,2,0
2024-10-11 12:45:55,A,42418.71,45000,0,1
2024-10-11 12:46:23,A,42193.71,45000,1,0
2024-10-11 12:46:51,A,42643.71,45000,0,1
2024-10-11 12:47:21,B,42193.71,45000,1,0
2024-10-11 12:47:45,A,41743.71,45000,2,0
2024-10-11 12:48:20,B,40843.71,45000,3,0
2024-10-11 12:48:47,B,42193.71,45000,1,1
2024-10-11 12:49:15,A,41743.71,45000,2,0
2024-10-11 12:49:44,B,40843.71,45000,3,0
2024-10-11 12:50:10,B,42193.71,45000,1,1
2024-10-11 12:50:40,B,42643.71,45000,0,2
