Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20316.08,20800,0,0
B,20316.08,20800,0,1
A,20363.58,20800,1,0
A,20313.58,20800,2,0
A,20213.58,20800,3,0
A,20013.58,20800,4,0
B,19613.58,20800,5,0
B,19613.58,20800,6,0
A,18613.58,20800,6,0
