Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-22 22:40:52,B,31599.86,35000,0,0
2024-09-22 22:41:35,B,31549.86,35000,1,0
2024-09-22 22:44:51,B,32499.86,35000,0,0
2024-09-22 22:45:42,B,31999.86,35000,1,0
2024-09-22 22:46:31,B,30999.86,35000,2,0
2024-09-22 22:47:22,B,31949.86,35000,0,1
2024-09-22 22:49:10,B,31449.86,35000,1,0
2024-09-22 22:50:00,B,32399.86,35000,1,1
2024-09-22 22:51:06,A,31899.86,35000,2,0
2024-09-22 22:51:58,A,32849.86,35000,0,1
2024-09-22 22:53:39,B,33324.86,35000,0,0
2024-09-22 22:54:24,B,32824.86,35000,1,0
2024-09-22 22:58:16,B,33774.86,35000,0,0
2024-09-22 22:59:16,B,33274.86,35000,1,0
2024-09-22 23:00:07,B,32274.86,35000,2,0
2024-09-22 23:00:58,B,33224.86,35000,0,1
2024-09-22 23:02:49,B,33699.86,35000,0,2
2024-09-22 23:03:39,B,34174.86,35000,0,3
2024-09-22 23:04:36,A,33674.86,35000,1,0
2024-09-22 23:07:11,B,34624.86,35000,0,0
