Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 12:34:28,A,42243.71,45000,0,0
2024-10-11 12:34:56,B,41793.71,45000,1,0
2024-10-11 12:35:23,B,41568.71,45000,2,0
2024-10-11 12:35:48,A,40668.71,45000,3,0
2024-10-11 12:36:19,B,39318.71,45000,4,0
2024-10-11 12:36:46,A,37068.71,45000,5,0
2024-10-11 12:37:11,A,40668.71,45000,3,1
2024-10-11 12:37:37,A,42018.71,45000,1,2
2024-10-11 12:38:05,A,42468.71,45000,0,3
2024-10-11 12:38:33,B,42018.71,45000,1,0
2024-10-11 12:39:03,A,41568.71,45000,2,0
2024-10-11 12:39:28,B,40668.71,45000,3,0
2024-10-11 12:39:56,A,39318.71,45000,4,0
2024-10-11 12:40:26,A,41568.71,45000,2,1
2024-10-11 12:40:50,B,40668.71,45000,3,0
2024-10-11 12:41:17,B,42018.71,45000,1,1
2024-10-11 12:41:46,B,42468.71,45000,0,2
