2024-08-21 12:14:15,812 - INFO - exchangeTSL.py - 130 - Starting value: 20831.08
2024-08-21 12:14:15,812 - INFO - exchangeTSL.py - 131 - Target amount: 21300
2024-08-21 12:14:15,812 - INFO - exchangeTSL.py - 132 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-21 12:14:19,434 - INFO - exchangeTSL.py - 85 - B,20831.08,21300,0,0
2024-08-21 12:14:56,227 - INFO - exchangeTSL.py - 85 - B,20831.08,21300,0,1
2024-08-21 12:15:42,932 - INFO - exchangeTSL.py - 77 - A,20878.58,21300,1,0
2024-08-21 12:16:30,052 - INFO - exchangeTSL.py - 77 - A,20828.58,21300,0,1
2024-08-21 12:17:15,758 - INFO - exchangeTSL.py - 85 - B,20923.58,21300,1,0
2024-08-21 12:18:01,946 - INFO - exchangeTSL.py - 85 - B,20873.58,21300,0,1
2024-08-21 12:18:48,052 - INFO - exchangeTSL.py - 77 - A,20968.58,21300,1,0
2024-08-21 12:19:34,772 - INFO - exchangeTSL.py - 77 - A,20918.58,21300,0,1
2024-08-21 12:20:21,297 - INFO - exchangeTSL.py - 85 - B,21013.58,21300,1,0
2024-08-21 12:21:09,365 - INFO - exchangeTSL.py - 85 - B,20963.58,21300,0,1
2024-08-21 12:21:56,069 - INFO - exchangeTSL.py - 85 - B,21058.58,21300,0,2
2024-08-21 12:22:42,342 - INFO - exchangeTSL.py - 85 - B,21106.08,21300,0,3
2024-08-21 12:23:27,865 - INFO - exchangeTSL.py - 85 - B,21153.58,21300,1,0
2024-08-21 12:24:13,421 - INFO - exchangeTSL.py - 85 - B,21103.58,21300,2,0
2024-08-21 12:24:58,757 - INFO - exchangeTSL.py - 77 - A,21003.58,21300,0,1
2024-08-21 12:25:46,665 - INFO - exchangeTSL.py - 77 - A,21193.58,21300,1,0
2024-08-21 12:26:34,384 - INFO - exchangeTSL.py - 85 - B,21143.58,21300,0,1
2024-08-21 12:27:20,642 - INFO - exchangeTSL.py - 85 - B,21238.58,21300,1,0
2024-08-21 12:28:06,700 - INFO - exchangeTSL.py - 77 - A,21188.58,21300,2,0
2024-08-21 12:28:52,980 - INFO - exchangeTSL.py - 85 - B,21088.58,21300,3,0
2024-08-21 12:29:40,424 - INFO - exchangeTSL.py - 77 - A,20888.58,21300,4,0
2024-08-21 12:30:57,468 - INFO - exchangeTSL.py - 85 - B,20488.58,21300,0,1
2024-08-21 12:31:44,139 - INFO - exchangeTSL.py - 77 - A,21248.58,21300,1,0
2024-08-21 12:32:38,348 - INFO - exchangeTSL.py - 77 - A,21198.58,21300,2,0
2024-08-21 12:33:24,864 - INFO - exchangeTSL.py - 85 - B,21098.58,21300,0,1
2024-08-21 12:34:11,022 - INFO - exchangeTSL.py - 85 - B,21288.58,21300,1,0
2024-08-21 12:35:01,545 - INFO - exchangeTSL.py - 77 - A,21238.58,21300,2,0
2024-08-21 12:35:49,387 - INFO - exchangeTSL.py - 85 - B,21138.58,21300,3,0
2024-08-21 12:36:37,667 - INFO - exchangeTSL.py - 85 - B,20938.58,21300,0,1
