Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-18 07:40:15,B,35220.6,35800,0,0
2024-09-18 07:41:00,B,35170.6,35800,1,0
2024-09-18 07:41:48,A,35265.6,35800,1,1
2024-09-18 07:42:36,A,35215.6,35800,2,0
2024-09-18 07:44:13,B,35115.6,35800,3,0
2024-09-18 07:44:56,A,35115.6,35800,4,0
2024-09-18 07:45:39,B,35203.1,35800,2,1
2024-09-18 07:46:27,A,35103.1,35800,3,0
2024-09-18 07:48:02,A,34953.1,35800,4,0
2024-09-18 07:48:46,A,34703.1,35800,5,0
2024-09-18 07:49:34,B,34303.1,35800,6,0
2024-09-18 07:50:21,B,34303.1,35800,7,0
2024-09-18 07:52:12,A,34650.6,35800,5,1
