Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-19 09:27:31,B,36896.6,37400,0,0
2024-09-19 09:28:18,B,36944.1,37400,0,1
2024-09-19 09:29:04,A,36894.1,37400,1,0
2024-09-19 09:29:47,A,36794.1,37400,2,0
2024-09-19 09:31:39,B,36694.1,37400,3,0
2024-09-19 09:32:28,B,36836.6,37400,1,1
2024-09-19 09:33:13,A,36786.6,37400,2,0
2024-09-19 09:34:08,A,36881.6,37400,0,1
2024-09-19 09:35:50,A,36929.1,37400,0,2
2024-09-19 09:36:36,A,36976.6,37400,0,3
2024-09-19 09:37:30,A,36926.6,37400,1,0
2024-09-19 09:38:16,A,36826.6,37400,2,0
2024-09-19 09:40:06,B,36921.6,37400,0,1
2024-09-19 09:40:49,B,36871.6,37400,1,0
2024-09-19 09:41:44,A,36966.6,37400,1,1
2024-09-19 09:42:32,A,37014.1,37400,1,2
2024-09-19 09:44:15,B,36964.1,37400,2,0
2024-09-19 09:48:21,B,37059.1,37400,0,0
2024-09-19 09:49:14,B,37009.1,37400,1,0
2024-09-19 09:50:04,B,36909.1,37400,2,0
2024-09-19 09:50:48,A,36909.1,37400,3,0
2024-09-19 09:52:24,B,36659.1,37400,4,0
2024-09-19 09:53:07,B,36659.1,37400,5,0
2024-09-19 09:53:54,B,36009.1,37400,6,0
2024-09-19 09:54:40,B,36626.6,37400,4,1
2024-09-19 09:56:16,B,36376.6,37400,5,0
2024-09-19 09:57:01,B,36756.6,37400,3,1
2024-09-19 09:57:48,A,36899.1,37400,1,2
2024-09-19 09:58:34,B,36946.6,37400,1,3
2024-09-19 10:00:17,B,36896.6,37400,2,0
2024-09-19 10:01:04,B,36991.6,37400,0,1
2024-09-19 10:01:49,A,37039.1,37400,0,2
2024-09-19 10:02:37,B,36989.1,37400,1,0
2024-09-19 10:03:26,B,36889.1,37400,2,0
2024-09-19 10:04:20,B,36789.1,37400,3,0
2024-09-19 10:05:08,A,36931.6,37400,1,1
2024-09-19 10:05:57,A,36979.1,37400,1,2
2024-09-19 10:06:49,B,36929.1,37400,2,0
2024-09-19 10:08:22,B,36829.1,37400,3,0
