2024-08-23 23:09:30,035 - INFO - exchangeTSL.py - 244 - Starting value: 20258.58
2024-08-23 23:09:30,035 - INFO - exchangeTSL.py - 245 - Target amount: 20750
2024-08-23 23:09:30,035 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-23 23:09:53,708 - INFO - exchangeTSL.py - 198 - B,20258.58,20750,0,0
2024-08-23 23:10:56,691 - INFO - exchangeTSL.py - 198 - B,20258.58,20750,0,1
2024-08-23 23:11:49,397 - INFO - exchangeTSL.py - 186 - A,20306.08,20750,1,0
2024-08-23 23:12:37,818 - INFO - exchangeTSL.py - 186 - A,20256.08,20750,2,0
2024-08-23 23:13:29,806 - INFO - exchangeTSL.py - 186 - A,20156.08,20750,3,0
2024-08-23 23:14:16,841 - INFO - exchangeTSL.py - 198 - B,19956.08,20750,0,1
2024-08-23 23:15:06,546 - INFO - exchangeTSL.py - 186 - A,20336.08,20750,1,0
2024-08-23 23:16:02,918 - INFO - exchangeTSL.py - 186 - A,20286.08,20750,2,0
2024-08-23 23:16:48,303 - INFO - exchangeTSL.py - 198 - B,20186.08,20750,0,1
2024-08-23 23:17:35,657 - INFO - exchangeTSL.py - 186 - A,20376.08,20750,0,2
2024-08-23 23:18:26,946 - INFO - exchangeTSL.py - 186 - A,20423.58,20750,1,0
2024-08-23 23:19:16,091 - INFO - exchangeTSL.py - 186 - A,20373.58,20750,0,1
2024-08-23 23:20:13,602 - INFO - exchangeTSL.py - 198 - B,20468.58,20750,1,0
2024-08-23 23:20:54,792 - INFO - exchangeTSL.py - 198 - B,20418.58,20750,2,0
2024-08-23 23:21:42,848 - INFO - exchangeTSL.py - 198 - B,20318.58,20750,3,0
2024-08-23 23:22:34,937 - INFO - exchangeTSL.py - 198 - B,20118.58,20750,4,0
2024-08-23 23:23:21,697 - INFO - exchangeTSL.py - 186 - A,19718.58,20750,5,0
2024-08-23 23:24:11,958 - INFO - exchangeTSL.py - 198 - B,18918.58,20750,0,1
2024-08-23 23:25:05,910 - INFO - exchangeTSL.py - 198 - B,20438.58,20750,0,2
2024-08-23 23:25:54,217 - INFO - exchangeTSL.py - 186 - A,20486.08,20750,1,0
2024-08-23 23:26:44,675 - INFO - exchangeTSL.py - 198 - B,20436.08,20750,0,1
2024-08-23 23:27:34,307 - INFO - exchangeTSL.py - 198 - B,20531.08,20750,1,0
2024-08-23 23:28:24,146 - INFO - exchangeTSL.py - 186 - A,20481.08,20750,2,0
2024-08-23 23:29:10,834 - INFO - exchangeTSL.py - 186 - A,20381.08,20750,0,1
2024-08-23 23:29:54,922 - INFO - exchangeTSL.py - 186 - A,20571.08,20750,0,2
2024-08-23 23:31:23,350 - INFO - exchangeTSL.py - 198 - B,20618.58,20750,1,0
2024-08-23 23:32:10,337 - INFO - exchangeTSL.py - 186 - A,20568.58,20750,2,0
2024-08-23 23:32:59,312 - INFO - exchangeTSL.py - 198 - B,20468.58,20750,3,0
2024-08-23 23:33:50,850 - INFO - exchangeTSL.py - 186 - A,20268.58,20750,4,0
2024-08-23 23:34:39,792 - INFO - exchangeTSL.py - 186 - A,19868.58,20750,5,0
2024-08-23 23:35:27,455 - INFO - exchangeTSL.py - 186 - A,19068.58,20750,0,1
2024-08-23 23:36:26,323 - INFO - exchangeTSL.py - 198 - B,20588.58,20750,0,2
2024-08-23 23:37:17,495 - INFO - exchangeTSL.py - 198 - B,20636.08,20750,1,0
2024-08-23 23:38:03,252 - INFO - exchangeTSL.py - 198 - B,20586.08,20750,2,0
2024-08-23 23:38:55,419 - INFO - exchangeTSL.py - 186 - A,20486.08,20750,0,1
2024-08-23 23:39:47,873 - INFO - exchangeTSL.py - 198 - B,20676.08,20750,0,2
2024-08-23 23:40:39,726 - INFO - exchangeTSL.py - 198 - B,20723.58,20750,1,0
2024-08-23 23:41:33,545 - INFO - exchangeTSL.py - 198 - B,20673.58,20750,0,1
