2024-08-23 21:20:44,370 - INFO - exchangeTSL.py - 244 - Starting value: 20241.08
2024-08-23 21:20:44,370 - INFO - exchangeTSL.py - 245 - Target amount: 20700
2024-08-23 21:20:44,371 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-23 21:21:25,882 - INFO - exchangeTSL.py - 198 - B,20241.08,20700,0,0
2024-08-23 21:22:21,236 - INFO - exchangeTSL.py - 198 - B,20241.08,20700,1,0
2024-08-23 21:23:15,205 - INFO - exchangeTSL.py - 186 - A,20191.08,20700,2,0
2024-08-23 21:24:10,175 - INFO - exchangeTSL.py - 186 - A,20091.08,20700,0,1
2024-08-23 21:25:03,128 - INFO - exchangeTSL.py - 186 - A,20281.08,20700,0,2
2024-08-23 21:25:49,083 - INFO - exchangeTSL.py - 186 - A,20328.58,20700,0,3
2024-08-23 21:26:45,235 - INFO - exchangeTSL.py - 186 - A,20376.08,20700,1,0
2024-08-23 21:27:32,891 - INFO - exchangeTSL.py - 186 - A,20326.08,20700,2,0
2024-08-23 21:28:29,658 - INFO - exchangeTSL.py - 198 - B,20226.08,20700,0,1
2024-08-23 21:29:21,496 - INFO - exchangeTSL.py - 186 - A,20416.08,20700,0,2
2024-08-23 21:30:22,381 - INFO - exchangeTSL.py - 186 - A,20463.58,20700,1,0
2024-08-23 21:31:06,509 - INFO - exchangeTSL.py - 186 - A,20413.58,20700,0,1
2024-08-23 21:32:00,489 - INFO - exchangeTSL.py - 198 - B,20508.58,20700,1,0
2024-08-23 21:32:44,545 - INFO - exchangeTSL.py - 198 - B,20458.58,20700,2,0
2024-08-23 21:33:26,934 - INFO - exchangeTSL.py - 186 - A,20358.58,20700,0,1
2024-08-23 21:34:13,472 - INFO - exchangeTSL.py - 186 - A,20548.58,20700,1,0
2024-08-23 21:35:06,257 - INFO - exchangeTSL.py - 198 - B,20498.58,20700,0,1
2024-08-23 21:35:49,365 - INFO - exchangeTSL.py - 186 - A,20593.58,20700,0,2
2024-08-23 21:36:37,420 - INFO - exchangeTSL.py - 186 - A,20641.08,20700,1,0
2024-08-23 21:37:22,043 - INFO - exchangeTSL.py - 186 - A,20591.08,20700,2,0
2024-08-23 21:38:08,662 - INFO - exchangeTSL.py - 198 - B,20491.08,20700,0,1
