Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20363.58,20800,0,0
B,20363.58,20800,1,0
A,20313.58,20800,2,0
A,20213.58,20800,0,1
A,20403.58,20800,0,2
B,20451.08,20800,1,0
A,20401.08,20800,2,0
B,20301.08,20800,3,0
B,20101.08,20800,0,1
B,20481.08,20800,1,0
A,20431.08,20800,0,1
A,20526.08,20800,1,0
B,20476.08,20800,0,1
