Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-19 01:46:22,B,36626.6,37100,0,0
2024-09-19 01:47:05,B,36576.6,37100,1,0
2024-09-19 01:47:55,B,36476.6,37100,2,0
2024-09-19 01:48:38,B,36571.6,37100,0,1
2024-09-19 01:50:32,B,36619.1,37100,0,2
2024-09-19 01:51:13,A,36619.1,37100,0,3
2024-09-19 01:52:04,A,36616.6,37100,1,0
2024-09-19 01:52:49,A,36616.6,37100,1,0
2024-09-19 01:54:28,B,36711.6,37100,1,1
2024-09-19 01:55:14,B,36759.1,37100,1,2
2024-09-19 01:58:19,B,36806.6,37100,0,0
2024-09-19 01:59:08,B,36854.1,37100,0,1
2024-09-19 01:59:52,A,36901.6,37100,0,2
2024-09-19 02:00:41,A,36851.6,37100,1,0
2024-09-19 02:02:17,B,36946.6,37100,1,1
