Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-21 01:35:20,B,41098.1,45000,0,0
2024-09-21 01:39:17,B,41573.1,45000,0,0
2024-09-21 01:43:21,B,42048.1,45000,0,0
2024-09-21 01:47:20,B,42523.1,45000,0,0
2024-09-21 01:48:15,B,42023.1,45000,1,0
2024-09-21 01:51:49,B,42973.1,45000,0,0
2024-09-21 01:52:41,B,42473.1,45000,1,0
2024-09-21 01:53:34,B,41473.1,45000,2,0
2024-09-21 01:54:23,A,40473.1,45000,3,0
2024-09-21 01:56:10,A,41898.1,45000,1,1
2024-09-21 01:56:58,B,41398.1,45000,2,0
2024-09-21 01:57:53,A,40398.1,45000,3,0
2024-09-21 01:58:42,A,41823.1,45000,1,1
2024-09-21 02:00:27,B,41323.1,45000,2,0
2024-09-21 02:01:13,B,40323.1,45000,3,0
2024-09-21 02:01:58,B,38823.1,45000,4,0
2024-09-21 02:02:59,A,36323.1,45000,5,0
2024-09-21 02:03:51,A,40123.1,45000,3,1
2024-09-21 02:04:37,A,38623.1,45000,1,2
2024-09-21 02:05:41,A,41048.1,45000,2,0
2024-09-21 02:06:30,A,41998.1,45000,0,1
2024-09-21 02:07:26,B,41498.1,45000,1,0
2024-09-21 02:09:06,B,40498.1,45000,2,0
2024-09-21 02:09:52,A,41448.1,45000,0,1
2024-09-21 02:10:51,A,40948.1,45000,1,0
2024-09-21 02:11:42,B,39948.1,45000,2,0
2024-09-21 02:13:37,B,40898.1,45000,0,1
2024-09-21 02:14:30,B,39398.1,45000,1,0
2024-09-21 02:15:26,B,41773.1,45000,1,1
2024-09-21 02:16:24,B,42248.1,45000,1,2
2024-09-21 02:18:14,A,42723.1,45000,1,3
2024-09-21 02:19:07,B,43198.1,45000,1,4
2024-09-21 02:22:55,B,43673.1,45000,0,0
2024-09-21 02:23:57,B,43173.1,45000,1,0
2024-09-21 02:24:50,B,42173.1,45000,2,0
2024-09-21 02:25:59,B,44073.1,45000,0,1
2024-09-21 02:27:33,B,44548.1,45000,0,0
2024-09-21 02:28:35,B,44048.1,45000,1,0
2024-09-21 02:32:00,B,44998.1,45000,0,0
2024-09-21 02:32:55,B,44498.1,45000,1,0
2024-09-21 02:33:41,B,43498.1,45000,2,0
2024-09-21 02:34:30,B,44448.1,45000,0,1
2024-09-21 02:36:16,B,44923.1,45000,0,2
2024-09-21 02:36:56,B,44923.1,45000,0,3
