Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-25 00:27:45,B,20361.08,20900,0,0
2024-08-25 00:28:34,B,20361.08,20900,1,0
2024-08-25 00:29:27,A,20311.08,20900,0,1
2024-08-25 00:30:13,B,20406.08,20900,0,2
2024-08-25 00:31:17,B,20453.58,20900,1,0
2024-08-25 00:32:14,B,20403.58,20900,2,0
2024-08-25 00:33:06,B,20303.58,20900,3,0
2024-08-25 00:33:52,B,20103.58,20900,4,0
2024-08-25 00:34:47,B,19703.58,20900,0,1
2024-08-25 00:35:36,A,20463.58,20900,0,2
2024-08-25 00:36:23,B,20511.08,20900,0,3
2024-08-25 00:37:11,A,20558.58,20900,1,0
2024-08-25 00:38:01,B,20508.58,20900,2,0
2024-08-25 00:38:58,B,20408.58,20900,0,1
2024-08-25 00:39:45,B,20598.58,20900,0,2
2024-08-25 00:40:33,A,20646.08,20900,1,0
2024-08-25 00:41:27,B,20596.08,20900,0,1
2024-08-25 00:42:14,B,20691.08,20900,1,0
2024-08-25 00:43:02,A,20641.08,20900,2,0
2024-08-25 00:43:54,B,20541.08,20900,3,0
2024-08-25 00:44:48,A,20341.08,20900,4,0
2024-08-25 00:45:32,B,19941.08,20900,0,1
2024-08-25 00:46:21,B,20701.08,20900,0,2
2024-08-25 00:47:11,A,20748.58,20900,1,0
2024-08-25 00:47:57,B,20698.58,20900,0,1
2024-08-25 00:48:48,A,20793.58,20900,0,2
2024-08-25 00:49:33,B,20841.08,20900,0,3
2024-08-25 00:50:28,A,20888.58,20900,1,0
2024-08-25 00:51:30,B,20838.58,20900,2,0
2024-08-25 00:52:15,B,20738.58,20900,0,1
