Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 12:21:01,A,42293.71,45000,0,0
2024-10-11 12:21:23,B,41843.71,45000,0,0
2024-10-11 12:22:33,B,42293.71,45000,0,1
2024-10-11 12:22:59,A,41843.71,45000,1,0
2024-10-11 12:23:26,A,41843.71,45000,1,0
2024-10-11 12:23:48,A,42293.71,45000,0,1
2024-10-11 12:24:13,B,41843.71,45000,1,0
2024-10-11 12:24:40,A,41393.71,45000,2,0
2024-10-11 12:25:05,B,40493.71,45000,3,0
2024-10-11 12:25:32,B,41843.71,45000,1,1
2024-10-11 12:25:59,B,42293.71,45000,0,2
