Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20646.08,21100,0,0
B,20646.08,21100,1,0
A,20596.08,21100,2,0
A,20496.08,21100,0,1
A,20686.08,21100,0,2
A,20733.58,21100,0,3
B,20781.08,21100,0,4
B,20828.58,21100,0,5
B,20876.08,21100,1,0
B,20826.08,21100,0,1
A,20921.08,21100,1,0
A,20871.08,21100,0,1
B,20966.08,21100,1,0
B,20916.08,21100,0,1
A,21011.08,21100,1,0
A,20961.08,21100,2,0
B,20861.08,21100,0,1
A,21051.08,21100,0,2
B,21098.58,21100,0,3
