2024-08-25 14:54:17,593 - INFO - exchangeTSL.py - 244 - Starting value: 20386.08
2024-08-25 14:54:17,593 - INFO - exchangeTSL.py - 245 - Target amount: 20850
2024-08-25 14:54:17,593 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-25 14:54:39,869 - INFO - exchangeTSL.py - 198 - B,20386.08,20850,0,0
2024-08-25 14:55:29,441 - INFO - exchangeTSL.py - 198 - B,20386.08,20850,1,0
2024-08-25 14:56:24,708 - INFO - exchangeTSL.py - 186 - A,20336.08,20850,0,1
2024-08-25 14:57:21,129 - INFO - exchangeTSL.py - 186 - A,20431.08,20850,1,0
2024-08-25 14:58:01,972 - INFO - exchangeTSL.py - 198 - B,20381.08,20850,2,0
2024-08-25 14:58:54,350 - INFO - exchangeTSL.py - 186 - A,20281.08,20850,3,0
2024-08-25 14:59:51,368 - INFO - exchangeTSL.py - 198 - B,20081.08,20850,4,0
2024-08-25 15:00:48,408 - INFO - exchangeTSL.py - 186 - A,19681.08,20850,0,1
2024-08-25 15:01:33,565 - INFO - exchangeTSL.py - 186 - A,20441.08,20850,0,2
2024-08-25 15:02:27,520 - INFO - exchangeTSL.py - 198 - B,20488.58,20850,1,0
2024-08-25 15:03:14,956 - INFO - exchangeTSL.py - 186 - A,20438.58,20850,0,1
2024-08-25 15:04:09,126 - INFO - exchangeTSL.py - 186 - A,20533.58,20850,1,0
2024-08-25 15:04:59,279 - INFO - exchangeTSL.py - 198 - B,20483.58,20850,0,1
2024-08-25 15:05:52,450 - INFO - exchangeTSL.py - 198 - B,20578.58,20850,1,0
2024-08-25 15:06:46,540 - INFO - exchangeTSL.py - 186 - A,20528.58,20850,2,0
2024-08-25 15:07:33,356 - INFO - exchangeTSL.py - 186 - A,20428.58,20850,0,1
2024-08-25 15:08:31,143 - INFO - exchangeTSL.py - 198 - B,20618.58,20850,1,0
2024-08-25 15:09:18,899 - INFO - exchangeTSL.py - 198 - B,20568.58,20850,0,1
2024-08-25 15:10:13,375 - INFO - exchangeTSL.py - 186 - A,20663.58,20850,1,0
2024-08-25 15:11:03,553 - INFO - exchangeTSL.py - 186 - A,20613.58,20850,2,0
2024-08-25 15:12:01,019 - INFO - exchangeTSL.py - 186 - A,20513.58,20850,3,0
2024-08-25 15:12:45,205 - INFO - exchangeTSL.py - 186 - A,20313.58,20850,4,0
2024-08-25 15:13:36,511 - INFO - exchangeTSL.py - 186 - A,19913.58,20850,0,1
2024-08-25 15:14:20,757 - INFO - exchangeTSL.py - 198 - B,20673.58,20850,0,2
2024-08-25 15:15:10,715 - INFO - exchangeTSL.py - 186 - A,20721.08,20850,0,3
2024-08-25 15:15:56,825 - INFO - exchangeTSL.py - 186 - A,20768.58,20850,0,4
2024-08-25 15:16:45,068 - INFO - exchangeTSL.py - 198 - B,20816.08,20850,0,5
