Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-05 05:35:28,B,3781.14,5000,0,0
2024-10-05 05:36:13,B,3731.14,5000,1,0
2024-10-05 05:37:00,A,3778.64,5000,0,1
2024-10-05 05:39:18,A,3826.14,5000,0,0
2024-10-05 05:40:07,B,3776.14,5000,1,0
2024-10-05 05:40:54,A,3823.64,5000,0,1
2024-10-05 05:41:40,A,3773.64,5000,1,0
2024-10-05 05:43:20,B,3821.14,5000,0,1
2024-10-05 05:43:58,B,3771.14,5000,1,0
2024-10-05 05:44:47,B,3721.14,5000,2,0
2024-10-05 05:45:35,B,3816.14,5000,0,1
2024-10-05 05:47:15,B,3766.14,5000,1,1
2024-10-05 05:47:53,B,3813.64,5000,0,2
2024-10-05 05:48:44,A,3763.64,5000,1,0
2024-10-05 05:49:33,A,3811.14,5000,0,1
2024-10-05 05:51:22,B,3761.14,5000,1,1
2024-10-05 05:52:23,B,3808.64,5000,0,2
2024-10-05 05:53:11,A,3856.14,5000,0,3
2024-10-05 05:54:06,A,3806.14,5000,1,0
2024-10-05 05:55:51,B,3853.64,5000,0,1
2024-10-05 05:56:35,B,3803.64,5000,1,0
2024-10-05 05:57:31,A,3851.14,5000,0,1
2024-10-05 06:00:05,B,3898.64,5000,0,0
2024-10-05 06:04:32,B,3946.14,5000,0,0
2024-10-05 06:08:54,B,3993.64,5000,0,0
2024-10-05 06:13:05,B,4041.14,5000,0,0
2024-10-05 06:13:52,B,3991.14,5000,1,0
2024-10-05 06:14:39,A,4038.64,5000,0,1
2024-10-05 06:17:03,B,4086.14,5000,0,0
2024-10-05 06:20:56,B,4133.64,5000,0,0
2024-10-05 06:21:44,B,4083.64,5000,1,0
2024-10-05 06:22:30,A,4131.14,5000,0,1
2024-10-05 06:23:19,B,4081.14,5000,1,0
2024-10-05 06:25:00,B,4031.14,5000,2,1
2024-10-05 06:25:43,B,3931.14,5000,3,0
2024-10-05 06:26:33,A,4073.64,5000,1,1
2024-10-05 06:27:27,B,4023.64,5000,2,0
2024-10-05 06:29:16,B,4118.64,5000,0,1
2024-10-05 06:29:58,B,4068.64,5000,1,0
2024-10-05 06:30:53,A,4116.14,5000,0,1
2024-10-05 06:31:43,B,4163.64,5000,0,2
2024-10-05 06:36:47,A,4211.14,5000,0,0
2024-10-05 06:40:48,A,4258.64,5000,0,0
2024-10-05 06:41:38,B,4208.64,5000,1,0
2024-10-05 06:42:25,A,4256.14,5000,0,1
2024-10-05 06:43:15,A,4206.14,5000,1,0
2024-10-05 06:44:59,A,4253.64,5000,0,1
2024-10-05 06:45:42,B,4203.64,5000,1,0
2024-10-05 06:46:29,A,4153.64,5000,2,0
2024-10-05 06:47:21,A,4053.64,5000,3,0
2024-10-05 06:49:05,B,4196.14,5000,1,1
2024-10-05 06:49:50,B,4146.14,5000,2,0
2024-10-05 06:50:35,A,4241.14,5000,0,1
2024-10-05 06:51:27,B,4191.14,5000,1,0
2024-10-05 06:53:09,A,4238.64,5000,0,1
2024-10-05 06:53:51,B,4286.14,5000,0,2
2024-10-05 06:57:00,A,4333.64,5000,0,0
2024-10-05 07:00:57,A,4381.14,5000,0,0
2024-10-05 07:01:43,B,4331.14,5000,1,0
2024-10-05 07:02:32,A,4281.14,5000,2,0
2024-10-05 07:03:19,A,4376.14,5000,0,1
2024-10-05 07:04:57,A,4326.14,5000,1,1
2024-10-05 07:05:39,B,4373.64,5000,0,2
2024-10-05 07:08:52,A,4421.14,5000,0,0
2024-10-05 07:13:11,A,4468.64,5000,0,0
2024-10-05 07:17:12,A,4516.14,5000,0,0
2024-10-05 07:17:57,B,4466.14,5000,1,0
2024-10-05 07:18:47,A,4513.64,5000,0,1
2024-10-05 07:21:07,A,4561.14,5000,0,0
2024-10-05 07:25:08,A,4608.64,5000,0,0
2024-10-05 07:29:13,A,4656.14,5000,0,0
2024-10-05 07:30:02,B,4606.14,5000,1,0
2024-10-05 07:30:49,A,4556.14,5000,2,0
2024-10-05 07:31:39,A,4651.14,5000,0,1
2024-10-05 07:33:24,A,4601.14,5000,1,1
2024-10-05 07:34:07,B,4648.64,5000,0,2
2024-10-05 07:34:54,B,4598.64,5000,1,0
2024-10-05 07:35:43,B,4548.64,5000,2,0
2024-10-05 07:37:29,A,4643.64,5000,0,1
2024-10-05 07:41:22,A,4691.14,5000,0,0
2024-10-05 07:42:11,B,4641.14,5000,1,0
2024-10-05 07:42:56,A,4688.64,5000,0,1
2024-10-05 07:45:22,A,4736.14,5000,0,0
2024-10-05 07:49:27,A,4783.64,5000,0,0
2024-10-05 07:50:13,B,4733.64,5000,1,0
2024-10-05 07:51:12,A,4683.64,5000,2,0
2024-10-05 07:52:42,A,4778.64,5000,0,1
2024-10-05 07:54:27,A,4728.64,5000,1,1
2024-10-05 07:55:06,B,4776.14,5000,0,2
2024-10-05 07:58:18,A,4823.64,5000,0,0
2024-10-05 07:59:06,B,4773.64,5000,1,0
2024-10-05 07:59:53,A,4821.14,5000,0,1
2024-10-05 08:00:41,A,4771.14,5000,1,0
2024-10-05 08:02:23,A,4721.14,5000,2,1
