Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-04 16:38:30,B,2404.54,6000,0,0
2024-10-04 16:39:12,A,2354.54,6000,1,0
2024-10-04 16:40:01,B,2402.04,6000,0,1
2024-10-04 16:40:48,B,2352.04,6000,1,0
2024-10-04 16:42:27,B,2302.04,6000,2,1
2024-10-04 16:46:20,B,2397.04,6000,0,0
2024-10-04 16:47:09,A,2347.04,6000,1,0
2024-10-04 16:48:04,B,297.04,6000,2,0
2024-10-04 16:48:52,B,197.04,6000,3,0
2024-10-04 16:50:35,B,47.04,6000,4,1
2024-10-04 16:51:25,B,47.04,6000,4,1
2024-10-04 16:54:42,B,6.14,6000,2,3
2024-10-04 16:55:26,B,6.14,6000,2,3
