Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-18 21:58:47,B,34899.1,35400,0,0
2024-09-18 21:59:32,B,34946.6,35400,0,1
2024-09-18 22:00:28,A,34896.6,35400,1,0
2024-09-18 22:01:18,A,34991.6,35400,1,1
2024-09-18 22:03:02,A,35039.1,35400,1,2
2024-09-18 22:10:00,B,35086.6,35400,0,0
2024-09-18 22:11:11,B,35134.1,35400,0,1
2024-09-18 22:12:05,A,35181.6,35400,0,2
2024-09-18 22:12:56,A,35131.6,35400,1,0
2024-09-18 22:14:41,B,35226.6,35400,1,1
2024-09-18 22:15:27,B,35176.6,35400,2,0
2024-09-18 22:18:43,B,35271.6,35400,0,0
2024-09-18 22:19:38,B,35319.1,35400,0,1
2024-09-18 22:20:23,A,35366.6,35400,0,2
