Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-19 00:21:06,B,35719.1,36200,0,0
2024-09-19 00:22:01,B,35766.6,36200,0,1
2024-09-19 00:22:53,A,35716.6,36200,1,0
2024-09-19 00:23:50,A,35616.6,36200,2,0
2024-09-19 00:25:42,B,35516.6,36200,3,0
2024-09-19 00:26:29,B,35366.6,36200,4,0
2024-09-19 00:27:20,B,35116.6,36200,5,0
2024-09-19 00:28:18,A,34716.6,36200,6,0
2024-09-19 00:30:04,B,35334.1,36200,4,1
2024-09-19 00:31:16,B,35571.6,36200,2,2
2024-09-19 00:32:18,A,35471.6,36200,3,0
2024-09-19 00:33:14,A,35614.1,36200,1,1
2024-09-19 00:35:06,A,35661.6,36200,1,2
2024-09-19 00:35:57,A,35709.1,36200,1,3
2024-09-19 00:36:55,A,35756.6,36200,1,4
2024-09-19 00:37:44,A,35804.1,36200,1,5
