Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20193.58,20650,0,0
B,20193.58,20650,1,0
A,20143.58,20650,0,1
B,20238.58,20650,0,2
B,20286.08,20650,1,0
B,20236.08,20650,2,0
A,20136.08,20650,0,1
B,20326.08,20650,0,2
A,20373.58,20650,0,3
A,20421.08,20650,0,4
A,20468.58,20650,1,0
A,20418.58,20650,0,1
B,20513.58,20650,1,0
B,20463.58,20650,2,0
A,20363.58,20650,0,1
A,20553.58,20650,1,0
B,20503.58,20650,0,1
A,20598.58,20650,0,2
B,20646.08,20650,0,3
