2024-08-23 08:37:10,939 - INFO - exchangeTSL.py - 244 - Starting value: 20646.08
2024-08-23 08:37:10,939 - INFO - exchangeTSL.py - 245 - Target amount: 21100
2024-08-23 08:37:10,940 - INFO - exchangeTSL.py - 246 - Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-08-23 08:37:58,600 - INFO - exchangeTSL.py - 198 - B,20646.08,21100,0,0
2024-08-23 08:38:53,036 - INFO - exchangeTSL.py - 198 - B,20646.08,21100,1,0
2024-08-23 08:39:36,878 - INFO - exchangeTSL.py - 186 - A,20596.08,21100,2,0
2024-08-23 08:40:26,364 - INFO - exchangeTSL.py - 186 - A,20496.08,21100,0,1
2024-08-23 08:41:17,083 - INFO - exchangeTSL.py - 186 - A,20686.08,21100,0,2
2024-08-23 08:42:03,855 - INFO - exchangeTSL.py - 186 - A,20733.58,21100,0,3
2024-08-23 08:42:57,258 - INFO - exchangeTSL.py - 198 - B,20781.08,21100,0,4
2024-08-23 08:43:45,112 - INFO - exchangeTSL.py - 198 - B,20828.58,21100,0,5
2024-08-23 08:44:34,934 - INFO - exchangeTSL.py - 198 - B,20876.08,21100,1,0
2024-08-23 08:45:26,294 - INFO - exchangeTSL.py - 198 - B,20826.08,21100,0,1
2024-08-23 08:46:19,639 - INFO - exchangeTSL.py - 186 - A,20921.08,21100,1,0
2024-08-23 08:47:15,230 - INFO - exchangeTSL.py - 186 - A,20871.08,21100,0,1
2024-08-23 08:48:08,543 - INFO - exchangeTSL.py - 198 - B,20966.08,21100,1,0
2024-08-23 08:48:58,070 - INFO - exchangeTSL.py - 198 - B,20916.08,21100,0,1
2024-08-23 08:49:53,032 - INFO - exchangeTSL.py - 186 - A,21011.08,21100,1,0
2024-08-23 08:50:46,408 - INFO - exchangeTSL.py - 186 - A,20961.08,21100,2,0
2024-08-23 08:51:44,301 - INFO - exchangeTSL.py - 198 - B,20861.08,21100,0,1
2024-08-23 08:52:39,862 - INFO - exchangeTSL.py - 186 - A,21051.08,21100,0,2
2024-08-23 08:53:25,922 - INFO - exchangeTSL.py - 198 - B,21098.58,21100,0,3
