Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-09-17 23:56:27,B,34480.6,36000,0,0
2024-09-17 23:57:18,B,34430.6,36000,1,0
2024-09-17 23:58:12,A,34525.6,36000,1,1
2024-09-17 23:59:06,A,34573.1,36000,1,2
2024-09-18 00:00:50,B,34523.1,36000,2,0
2024-09-18 00:01:33,B,34423.1,36000,3,0
2024-09-18 00:02:28,A,34565.6,36000,1,1
2024-09-18 00:03:14,A,34515.6,36000,2,0
2024-09-18 00:05:05,B,34610.6,36000,0,1
2024-09-18 00:05:54,B,34560.6,36000,1,0
2024-09-18 00:09:13,B,34655.6,36000,0,0
2024-09-18 00:10:03,B,34605.6,36000,1,0
2024-09-18 00:11:06,A,34700.6,36000,1,1
2024-09-18 00:12:00,A,34748.1,36000,1,2
2024-09-18 00:13:44,B,34698.1,36000,2,0
2024-09-18 00:14:33,B,34598.1,36000,3,0
2024-09-18 00:15:23,A,34740.6,36000,1,1
2024-09-18 00:16:17,A,34788.1,36000,1,2
2024-09-18 00:17:59,B,34738.1,36000,2,0
2024-09-18 00:22:14,B,34833.1,36000,0,0
2024-09-18 00:23:05,B,34783.1,36000,1,0
2024-09-18 00:23:57,B,34683.1,36000,2,0
2024-09-18 00:24:45,A,34583.1,36000,3,0
2024-09-18 00:26:34,A,34433.1,36000,4,0
2024-09-18 00:27:14,B,34433.1,36000,2,1
2024-09-18 00:28:05,B,34570.6,36000,3,0
2024-09-18 00:28:56,B,34713.1,36000,1,1
2024-09-18 00:30:39,B,34663.1,36000,2,0
2024-09-18 00:31:41,B,34563.1,36000,3,0
2024-09-18 00:32:38,A,34413.1,36000,4,0
2024-09-18 00:33:24,A,34650.6,36000,2,1
2024-09-18 00:35:10,A,34745.6,36000,0,2
2024-09-18 00:35:55,A,34793.1,36000,0,3
2024-09-18 00:36:46,A,34840.6,36000,0,4
2024-09-18 00:37:32,A,34888.1,36000,0,5
2024-09-18 00:39:15,A,34935.6,36000,0,6
2024-09-18 00:39:58,B,34935.6,36000,1,0
2024-09-18 00:40:44,A,34785.6,36000,2,0
2024-09-18 00:41:37,A,34880.6,36000,0,1
2024-09-18 00:43:17,A,34928.1,36000,0,2
2024-09-18 00:43:58,A,34928.1,36000,0,3
2024-09-18 00:47:22,B,34975.6,36000,0,0
2024-09-18 00:48:16,B,35070.6,36000,0,1
2024-09-18 00:49:09,A,35020.6,36000,1,0
2024-09-18 00:49:55,A,34920.6,36000,2,0
2024-09-18 00:51:41,B,35015.6,36000,0,1
2024-09-18 00:52:25,B,35015.6,36000,0,2
2024-09-18 00:53:11,B,35110.6,36000,0,3
2024-09-18 00:55:29,B,35158.1,36000,0,0
2024-09-18 00:56:21,B,35108.1,36000,1,0
2024-09-18 00:57:05,A,35108.1,36000,1,1
2024-09-18 00:57:49,A,35250.6,36000,1,2
2024-09-18 00:59:27,B,35200.6,36000,2,0
2024-09-18 01:00:12,B,35295.6,36000,0,1
2024-09-18 01:03:19,B,35343.1,36000,0,0
2024-09-18 01:04:03,B,35293.1,36000,1,0
2024-09-18 01:04:50,B,35193.1,36000,2,0
2024-09-18 01:05:37,A,35093.1,36000,3,0
2024-09-18 01:07:14,A,35235.6,36000,1,1
2024-09-18 01:07:58,B,35185.6,36000,2,0
2024-09-18 01:08:45,A,35280.6,36000,0,1
2024-09-18 01:09:33,A,35328.1,36000,0,2
2024-09-18 01:11:27,A,35375.6,36000,0,3
2024-09-18 01:12:07,B,35375.6,36000,1,0
2024-09-18 01:12:55,A,35325.6,36000,1,0
2024-09-18 01:13:43,A,35225.6,36000,2,0
2024-09-18 01:15:20,B,35320.6,36000,0,1
2024-09-18 01:16:01,B,35320.6,36000,0,2
2024-09-18 01:16:43,A,35318.1,36000,1,0
2024-09-18 01:17:33,A,35218.1,36000,2,0
2024-09-18 01:19:07,B,35118.1,36000,3,0
2024-09-18 01:19:50,B,35118.1,36000,1,1
2024-09-18 01:20:37,A,35210.6,36000,2,0
2024-09-18 01:21:21,A,35210.6,36000,3,0
2024-09-18 01:22:54,A,34960.6,36000,4,0
2024-09-18 01:23:39,A,34960.6,36000,5,0
2024-09-18 01:24:23,A,35090.6,36000,3,1
2024-09-18 01:25:10,B,34940.6,36000,4,0
