Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20258.58,20750,0,0
B,20258.58,20750,0,1
A,20306.08,20750,1,0
A,20256.08,20750,2,0
A,20156.08,20750,3,0
B,19956.08,20750,0,1
A,20336.08,20750,1,0
A,20286.08,20750,2,0
B,20186.08,20750,0,1
A,20376.08,20750,0,2
A,20423.58,20750,1,0
A,20373.58,20750,0,1
B,20468.58,20750,1,0
B,20418.58,20750,2,0
B,20318.58,20750,3,0
B,20118.58,20750,4,0
A,19718.58,20750,5,0
B,18918.58,20750,0,1
B,20438.58,20750,0,2
A,20486.08,20750,1,0
B,20436.08,20750,0,1
B,20531.08,20750,1,0
A,20481.08,20750,2,0
A,20381.08,20750,0,1
A,20571.08,20750,0,2
B,20618.58,20750,1,0
A,20568.58,20750,2,0
B,20468.58,20750,3,0
A,20268.58,20750,4,0
A,19868.58,20750,5,0
A,19068.58,20750,0,1
B,20588.58,20750,0,2
B,20636.08,20750,1,0
B,20586.08,20750,2,0
A,20486.08,20750,0,1
B,20676.08,20750,0,2
B,20723.58,20750,1,0
B,20673.58,20750,0,1
