Betted On,CurrentValue,TargetAmt,Losscount,Wincount
B,20521.08,21000,0,0
B,20521.08,21000,1,0
A,20471.08,21000,2,0
B,20371.08,21000,3,0
B,20171.08,21000,0,1
A,20551.08,21000,0,2
A,20598.58,21000,1,0
A,20548.58,21000,2,0
A,20448.58,21000,3,0
B,20248.58,21000,0,1
B,20628.58,21000,0,2
B,20676.08,21000,0,3
A,20723.58,21000,0,4
A,20771.08,21000,0,5
A,20818.58,21000,1,0
A,20768.58,21000,2,0
B,20668.58,21000,0,1
B,20858.58,21000,1,0
A,20808.58,21000,0,1
B,20951.08,21000,0,2
A,20998.58,21000,0,3
