Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 16:59:36,A,46225.71,47000,0,0
2024-10-11 16:59:55,B,46225.71,47000,0,0
2024-10-11 17:00:21,A,45775.71,47000,1,0
2024-10-11 17:00:54,B,44875.71,47000,2,0
2024-10-11 17:01:59,A,43525.71,47000,3,0
2024-10-11 17:02:25,A,45775.71,47000,1,1
2024-10-11 17:02:53,A,45775.71,47000,1,1
2024-10-11 17:03:21,B,45775.71,47000,1,1
2024-10-11 17:03:46,A,45325.71,47000,2,0
2024-10-11 17:04:13,B,44425.71,47000,3,0
2024-10-11 17:04:40,B,45775.71,47000,1,1
2024-10-11 17:05:04,A,45325.71,47000,2,0
2024-10-11 17:05:32,A,46225.71,47000,0,1
