Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 13:43:26,A,42593.71,51000,0,0
2024-10-11 13:43:53,B,42143.71,51000,1,0
2024-10-11 13:44:18,A,41693.71,51000,2,0
2024-10-11 13:44:41,B,40793.71,51000,3,0
2024-10-11 13:45:12,B,42143.71,51000,1,1
2024-10-11 13:45:36,B,42593.71,51000,0,2
2024-10-11 13:46:05,A,42143.71,51000,1,0
2024-10-11 13:46:28,B,41693.71,51000,2,0
2024-10-11 13:46:54,A,40793.71,51000,3,0
2024-10-11 13:47:19,A,40118.71,51000,4,0
2024-10-11 13:47:45,B,38993.71,51000,5,0
2024-10-11 13:48:15,A,35393.71,51000,6,0
2024-10-11 13:48:36,A,41243.71,51000,4,1
2024-10-11 13:49:03,A,42143.71,51000,2,2
