Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 14:14:06,A,43623.71,45000,0,0
2024-10-11 14:14:33,B,43173.71,45000,1,0
2024-10-11 14:15:00,B,43623.71,45000,0,1
2024-10-11 14:15:25,A,43173.71,45000,1,0
2024-10-11 14:15:53,B,42723.71,45000,2,0
2024-10-11 14:16:22,A,41823.71,45000,3,0
2024-10-11 14:16:45,B,40473.71,45000,4,0
2024-10-11 14:17:13,B,42723.71,45000,2,1
2024-10-11 14:17:38,A,41823.71,45000,3,0
2024-10-11 14:18:06,A,43173.71,45000,1,1
2024-10-11 14:18:35,A,43623.71,45000,0,2
2024-10-11 14:19:02,B,43173.71,45000,1,0
2024-10-11 14:19:27,A,42723.71,45000,2,0
2024-10-11 14:19:53,A,42273.71,45000,3,0
2024-10-11 14:20:21,A,43623.71,45000,1,1
