Time,Betted On,CurrentValue,TargetAmt,Losscount,Wincount
2024-10-11 16:23:23,A,44641.71,45000,0,0
2024-10-11 16:23:42,A,44416.71,45000,0,1
2024-10-11 16:24:02,B,43966.71,45000,1,0
2024-10-11 16:24:27,A,43516.71,45000,2,0
2024-10-11 16:24:53,B,42616.71,45000,3,0
2024-10-11 16:25:21,B,43966.71,45000,1,1
2024-10-11 16:25:44,B,44416.71,45000,0,2
2024-10-11 16:26:08,A,43966.71,45000,1,0
2024-10-11 16:26:39,B,43516.71,45000,2,0
2024-10-11 16:27:03,A,42166.71,45000,3,0
2024-10-11 16:27:34,B,40366.71,45000,4,0
2024-10-11 16:27:59,A,38566.71,45000,5,0
2024-10-11 16:28:25,B,34516.71,45000,6,0
2024-10-11 16:28:54,B,41266.71,45000,4,1
2024-10-11 16:29:21,A,39916.71,45000,5,0
2024-10-11 16:29:49,B,36316.71,45000,6,0
2024-10-11 16:30:19,A,30016.71,45000,7,0
